t,I0,Tmax,TmaxLeft,TmaxRight,fracLeft
0,0,77,77,77,0.5
0.05,21.7672,77,77,77,0.5
0.1,43.5344,77,77,77,0.5
0.15,65.3016,77,77,77,0.5
0.2,87.0688,77,77,77,0.5
0.25,108.836,77,77,77,0.5
0.3,130.603,77,77,77,0.5
0.35,152.37,77,77,77,0.5
0.4,174.138,77,77,77,0.5
0.45,195.905,77,77,77,0.5
0.5,217.672,77,77,77,0.5
<<<<<<< Updated upstream
0.502,217.672,110.46,110.411,77.0001,0.00115262
0.504,217.672,127.13,127.057,77.0055,0.000913149
0.506,217.672,139.132,139.043,77.0108,0.000799042
0.508,217.672,148.727,148.627,77.0168,0.000728176
0.51,217.672,156.835,156.726,77.0234,0.000682679
0.52,217.672,116.111,115.915,77.0674,0.00111484
0.53,217.672,102.093,102.002,77.1153,0.00147082
0.54,217.672,96.2576,96.22,77.1632,0.00171456
0.55,217.672,93.2685,93.2494,77.21,0.00189834
0.56,217.672,91.4401,91.4162,77.2554,0.00205528
0.57,217.672,90.1579,90.127,77.2998,0.00219955
0.58,217.672,89.184,89.1441,77.3436,0.0692893
0.59,217.672,88.3984,88.3553,77.3685,0.121991
0.6,217.672,87.7434,87.7009,77.3863,0.16052
0.61,217.672,87.186,87.1454,77.4011,0.190242
0.62,217.672,86.7044,86.6658,77.414,0.214056
0.63,217.672,86.2828,86.2459,77.4257,0.233676
0.64,217.672,85.9096,85.8743,77.4366,0.250197
0.65,217.672,85.5763,85.5424,77.4468,0.264351
0.66,217.672,85.2761,85.2434,77.4563,0.27665
0.67,217.672,85.0038,84.9722,77.4654,0.287464
0.68,217.672,84.7554,84.7248,77.4741,0.297068
0.69,217.672,84.5275,84.4978,77.4824,0.305671
0.7,217.672,84.3174,84.2885,77.4904,0.313435
0.71,217.672,84.1228,84.0948,77.4981,0.320487
0.72,217.672,83.942,83.9148,77.5055,0.326929
0.73,217.672,83.7734,83.7468,77.5126,0.332845
0.74,217.672,83.6156,83.5897,77.5195,0.338303
0.75,217.672,83.4676,83.4423,77.5262,0.343358
0.76,217.672,83.3283,83.3035,77.5327,0.348058
0.77,217.672,83.1969,83.1727,77.539,0.352442
0.78,217.672,83.0727,83.049,77.5452,0.356545
0.79,217.672,82.955,82.9318,77.5511,0.360395
0.8,217.672,82.8433,82.8206,77.557,0.364018
0.81,217.672,82.7371,82.7149,77.5626,0.367434
0.82,217.672,82.6359,82.6141,77.5682,0.370664
0.83,217.672,82.5394,82.518,77.5735,0.373723
0.84,217.672,82.4471,82.4262,77.5788,0.376626
0.85,217.672,82.3589,82.3383,77.5839,0.379385
0.86,217.672,82.2744,82.2542,77.589,0.382014
0.87,217.672,82.1933,82.1735,77.5939,0.38452
0.92,217.672,81.8538,81.8354,77.6162,0.394884
0.97,217.672,81.5634,81.5463,77.6365,0.403571
1.01,217.672,81.3568,81.3406,77.6516,0.409655
1.06,217.672,81.1311,81.1159,77.669,0.416218
1.11,217.672,80.9317,80.9174,77.6851,0.421946
1.16,217.672,80.754,80.7405,77.6999,0.426997
1.21,217.672,80.5944,80.5817,77.7137,0.431491
1.26,217.672,80.4502,80.4381,77.7265,0.435521
1.31,217.672,80.319,80.3076,77.7385,0.439158
1.36,217.672,80.1991,80.1882,77.7496,0.442461
1.41,217.672,80.089,80.0786,77.76,0.445477
1.46,217.672,79.9874,79.9776,77.7697,0.448242
1.51,217.672,79.8934,79.884,77.7788,0.450789
1.56,217.672,79.806,79.797,77.7873,0.453144
1.61,217.672,79.7246,79.716,77.7952,0.455328
1.66,217.672,79.6485,79.6403,77.8027,0.45736
1.71,217.672,79.5772,79.5693,77.8097,0.459255
1.76,217.672,79.5102,79.5027,77.8162,0.461027
1.81,217.672,79.4472,79.4399,77.8224,0.462688
1.86,217.672,79.3877,79.3808,77.8281,0.464248
1.91,217.672,79.3315,79.3249,77.8335,0.465716
1.96,217.672,79.2783,79.2719,77.8385,0.4671
